	CH.S.F.17	MX.S.F.16	MX.S.F.17	PLE.S.F.17	PLE.S.NF.15	PLE.S.NF.16	PLF.L.F.15	PLF.L.F.16	PLF.L.F.17	SCE.L.F.16	SCE.L.F.17	SCW.S.F.17	SCW.S.NF.16
CH.S.F.17	2.55772584946	-0.00770448221009	-0.00529934162768	-0.0181291988941	-0.0226726454277	0.00173965757452	0.0140901285815	0.00923800227671	-0.0431145045351	0.0295324774119	-0.0148996715912	0.0122380066888	0.0134563416903
MX.S.F.16	-0.00770448221009	2.33738636229	0.028774725132	-0.0307430826744	-0.000785584917665	-0.00768912919876	-0.0118280229567	0.00290656269842	0.0274030300142	0.0231777668496	0.0149359515492	-0.0283027446201	-0.0175929497986
MX.S.F.17	-0.00529934162768	0.028774725132	2.90167331729	-0.0462091929611	0.0310697914749	-0.0312523942521	0.0184415965616	0.0151358535833	0.00208759714022	-0.0258474805598	-0.0130807351953	0.000776003060717	0.0295564175672
PLE.S.F.17	-0.0181291988941	-0.0307430826744	-0.0462091929611	2.65715564621	0.00940489314406	0.011421032079	0.0352746243985	-0.0343719515734	-0.0144015752263	0.0146390433962	0.0228876916668	0.0128836179754	-0.00588130565487
PLE.S.NF.15	-0.0226726454277	-0.000785584917665	0.0310697914749	0.00940489314406	2.06443093838	-0.00313243261653	0.00372954549319	0.0153707975484	0.0107361007375	-0.0120187495895	-0.00758044587907	0.0201207012095	-0.0258378331216
PLE.S.NF.16	0.00173965757452	-0.00768912919876	-0.0312523942521	0.011421032079	-0.00313243261653	2.59619084739	0.012528225122	-0.0014225585159	-0.00586220438232	0.0109052519237	0.0115972312818	-0.0232749791603	0.00274991048346
PLF.L.F.15	0.0140901285815	-0.0118280229567	0.0184415965616	0.0352746243985	0.00372954549319	0.012528225122	3.09959480327	-0.0030618464473	0.00862610261831	-0.0957037046463	-0.00535992602917	0.000247864747872	0.0190342091498
PLF.L.F.16	0.00923800227671	0.00290656269842	0.0151358535833	-0.0343719515734	0.0153707975484	-0.0014225585159	-0.0030618464473	2.89230299772	-0.00768548995923	0.0113482729502	-0.0118819189754	0.000328240270608	-0.0157013337306
PLF.L.F.17	-0.0431145045351	0.0274030300142	0.00208759714022	-0.0144015752263	0.0107361007375	-0.00586220438232	0.00862610261831	-0.00768548995923	3.32647088945	0.0301273535317	-0.0162473158868	0.000946748333593	-0.0218251300825
SCE.L.F.16	0.0295324774119	0.0231777668496	-0.0258474805598	0.0146390433962	-0.0120187495895	0.0109052519237	-0.0957037046463	0.0113482729502	0.0301273535317	2.83856331333	0.0305605743883	-0.0173388425539	-0.00647958026715
SCE.L.F.17	-0.0148996715912	0.0149359515492	-0.0130807351953	0.0228876916668	-0.00758044587907	0.0115972312818	-0.00535992602917	-0.0118819189754	-0.0162473158868	0.0305605743883	2.70712466157	0.000848345397052	0.00731653006616
SCW.S.F.17	0.0122380066888	-0.0283027446201	0.000776003060717	0.0128836179754	0.0201207012095	-0.0232749791603	0.000247864747872	0.000328240270608	0.000946748333593	-0.0173388425539	0.000848345397052	2.60129021661	0.0135007725035
SCW.S.NF.16	0.0134563416903	-0.0175929497986	0.0295564175672	-0.00588130565487	-0.0258378331216	0.00274991048346	0.0190342091498	-0.0157013337306	-0.0218251300825	-0.00647958026715	0.00731653006616	0.0135007725035	2.44833357704
