"","X","variable","value"
"177841","s3189","r8545",0.531812025576
"177856","s4554","r8545",0.815964698536
"177896","s8555","r8545",0.760158112276
"177906","s9198","r8545",0.555225249408
"177911","s9712","r8545",0.694216911284
"177913","s9916","r8545",0.741073252571
"178281","s2499","r8548",0.568601736579
"178303","s4255","r8548",0.624575584784
"178344","s8548","r8548",0.577632689857
"178374","s4007","r8548",0.543746017212
"178754","s4554","r8555",0.675928871229
"178794","s8555","r8555",0.673431102542
"178804","s9198","r8555",0.543836495312
"178809","s9712","r8555",0.57379736189
"178811","s9916","r8555",0.543724391179
"179272","s4007","r8608",0.505946041792
"180060","s1133","r8638",0.560252467865
"180128","s7971","r8638",0.544926666752
"180187","s8923","r8638",0.566994362498
"180188","s9171","r8638",0.60151398741
"182305","s1133","r8838",0.624065292807
"182373","s7971","r8838",0.593101642643
"182395","s9186","r8838",0.515028456331
"182432","s8923","r8838",0.622641007611
"182433","s9171","r8838",0.661771350625
"182771","s2499","r8930",0.612237127968
"182793","s4255","r8930",0.704228934184
"182834","s8548","r8930",0.670130128748
"183203","s1133","r8953",0.544781016529
"183271","s7971","r8953",0.536849256379
"183330","s8923","r8953",0.567849080632
"183331","s9171","r8953",0.567446700244
"184096","s891","r9035",0.54428512028
"184223","s8332","r9035",0.513316672122
"184999","s1133","r9076",0.533455633926
"185126","s8923","r9076",0.517065762009
"185127","s9171","r9076",0.560639095803
"185904","s1773","r9107",0.598476064337
"185945","s5601","r9107",0.509680908513
"186860","s7391","r9130",0.537790587587
"187696","s1251","r9177",0.53299600127
"187698","s1668","r9177",0.623811905625
"187719","s3189","r9177",0.618236936657
"187734","s4554","r9177",0.741813122151
"187759","s7713","r9177",0.554418105591
"187774","s8555","r9177",0.73796937379
"187784","s9198","r9177",0.589603377488
"187789","s9712","r9177",0.599717602227
"187791","s9916","r9177",0.668047692979
"188142","s1133","r9186",0.615499035178
"188143","s1210","r9186",0.542995879369
"188210","s7971","r9186",0.678741330902
"188232","s9186","r9186",0.532891961219
"188269","s8923","r9186",0.672549378858
"188270","s9171","r9186",0.719068099146
"188586","s891","r9198",0.681507141755
"188596","s1668","r9198",0.583948761799
"188632","s4554","r9198",0.760946989022
"188672","s8555","r9198",0.705640207207
"188682","s9198","r9198",0.577949602353
"188687","s9712","r9198",0.6116310076
"188689","s9916","r9198",0.691411125037
"188692","s1162","r9198",0.513615889015
"188709","s7072","r9198",0.560535514764
"188713","s8332","r9198",0.511989432212
"189554","s7391","r9327",0.589585594903
"189605","s5338","r9327",0.70484796898
"190452","s7391","r9402",0.522023966989
"190503","s5338","r9402",0.500115630015
"192203","s2642","r9556",0.574329165154
"192248","s7391","r9556",0.709955215163
"192299","s5338","r9556",0.643299598126
"193979","s1133","r9673",0.529663022724
"193996","s2499","r9673",0.56837734053
"194018","s4255","r9673",0.628691601035
"194059","s8548","r9673",0.638162358821
"194448","s2642","r9687",0.555227391095
"194493","s7391","r9687",0.703538434821
"194520","s9327","r9687",0.513093814864
"194544","s5338","r9687",0.606106826843
"195329","s1251","r9712",0.677998202754
"195331","s1668","r9712",0.727267630018
"195352","s3189","r9712",0.515256661353
"195367","s4554","r9712",0.863323102282
"195398","s8345","r9712",0.57700168197
"195407","s8555","r9712",0.773906610011
"195417","s9198","r9712",0.543498270922
"195422","s9712","r9712",0.680992172573
"195424","s9916","r9712",0.802248428756
"195792","s2499","r9722",0.597403947155
"195814","s4255","r9722",0.663085480727
"195855","s8548","r9722",0.649761153622
"198014","s704","r9916",0.516822677669
"198023","s1251","r9916",0.710689097583
"198025","s1668","r9916",0.780207600701
"198046","s3189","r9916",0.550391178417
"198061","s4554","r9916",0.889927177365
"198086","s7713","r9916",0.509805989544
"198092","s8345","r9916",0.578255864772
"198099","s8545","r9916",0.542888736314
"198101","s8555","r9916",0.812908304269
"198111","s9198","r9916",0.593933634206
"198116","s9712","r9916",0.734243475462
"198118","s9916","r9916",0.839371546252
"199836","s2642","r10031",0.515158444849
"199923","s3346","r10031",0.878578955181
