	denovo1125	denovo3013	denovo3982	denovo4200	denovo4428	denovo4796	denovo6120	denovo10100	denovo10122	denovo10202	denovo10325
denovo1125	1.56317207836	0.0181259450892	0.0176471096415	0.0316484376506	0.0183978923881	-0.0363826821388	0.0107679684488	-0.00493956698352	0.00839006092697	-0.0393734756025	0.0419840481292
denovo3013	0.0181259450892	1.31190406558	0.0418193087213	-0.0739172867268	0.0326798059354	0.0216011592019	-0.00949787444729	-0.0326429211005	0.00980406938872	0.0356234257396	0.00246183039056
denovo3982	0.0176471096415	0.0418193087213	1.63094630538	-0.0225182772857	-0.00607412248922	-0.0365928216403	-0.0242071437312	-0.0287656707876	0.00344008948348	0.010429341871	-0.0344381809791
denovo4200	0.0316484376506	-0.0739172867268	-0.0225182772857	1.51334817108	0.0248387992194	0.00764831831471	-0.0502237294581	0.0467119580327	-0.0186415254568	-0.00121983252813	0.00672703900031
denovo4428	0.0183978923881	0.0326798059354	-0.00607412248922	0.0248387992194	1.70670778037	-0.0245078591752	0.0239349433334	0.0070320790531	-0.0589950369172	-0.0273036012974	-0.0240488425938
denovo4796	-0.0363826821388	0.0216011592019	-0.0365928216403	0.00764831831471	-0.0245078591752	1.57723005132	-0.0473351529266	0.0347599359926	0.00756513519884	0.030825379052	0.00539878981053
denovo6120	0.0107679684488	-0.00949787444729	-0.0242071437312	-0.0502237294581	0.0239349433334	-0.0473351529266	1.4828892785	-0.00501408864432	-0.0179200637787	0.0467161634404	0.0625281508622
denovo10100	-0.00493956698352	-0.0326429211005	-0.0287656707876	0.0467119580327	0.0070320790531	0.0347599359926	-0.00501408864432	1.7093793661	-0.0186011860653	0.0182017614654	-0.0328393397644
denovo10122	0.00839006092697	0.00980406938872	0.00344008948348	-0.0186415254568	-0.0589950369172	0.00756513519884	-0.0179200637787	-0.0186011860653	1.18613432566	-0.055800377426	-0.0339847668357
denovo10202	-0.0393734756025	0.0356234257396	0.010429341871	-0.00121983252813	-0.0273036012974	0.030825379052	0.0467161634404	0.0182017614654	-0.055800377426	1.54763530635	0.00526241834301
denovo10325	0.0419840481292	0.00246183039056	-0.0344381809791	0.00672703900031	-0.0240488425938	0.00539878981053	0.0625281508622	-0.0328393397644	-0.0339847668357	0.00526241834301	1.25131344691
