	denovo1125	denovo3013	denovo3982	denovo4200	denovo4428	denovo4796	denovo6120	denovo10100	denovo10122	denovo10202	denovo10325
denovo1125	1.0	0.012657450176	0.0110522412918	0.0205768765939	0.0112638042817	-0.0231709476539	0.00707254985085	-0.00302180375099	0.00616161818472	-0.0253143070713	0.0300191133648
denovo3013	0.012657450176	1.0	0.0285894617473	-0.0524596694571	0.0218398094936	0.0150168380506	-0.00680959091873	-0.0217981053752	0.00785938204324	0.0250005940278	0.00192142764018
denovo3982	0.0110522412918	0.0285894617473	1.0	-0.0143332904957	-0.00364069359508	-0.0228154240806	-0.0155657250403	-0.0172280231046	0.00247333515739	0.00656451670347	-0.0241066752042
denovo4200	0.0205768765939	-0.0524596694571	-0.0143332904957	1.0	0.0154554475157	0.00495049931548	-0.0335262645956	0.0290428622705	-0.0139137784273	-0.000797070007476	0.00488845319794
denovo4428	0.0112638042817	0.0218398094936	-0.00364069359508	0.0154554475157	1.0	-0.0149375121112	0.015045217029	0.00411703853097	-0.041463786153	-0.0167998744047	-0.0164562751364
denovo4796	-0.0231709476539	0.0150168380506	-0.0228154240806	0.00495049931548	-0.0149375121112	1.0	-0.0309515142044	0.0211695788314	0.00553098187325	0.0197299774886	0.00384295980591
denovo6120	0.00707254985085	-0.00680959091873	-0.0155657250403	-0.0335262645956	0.015045217029	-0.0309515142044	1.0	-0.00314933178498	-0.013511956902	0.0308374524057	0.0459026931941
denovo10100	-0.00302180375099	-0.0217981053752	-0.0172280231046	0.0290428622705	0.00411703853097	0.0211695788314	-0.00314933178498	1.0	-0.0130633472444	0.0111907675694	-0.0224539180144
denovo10122	0.00616161818472	0.00785938204324	0.00247333515739	-0.0139137784273	-0.041463786153	0.00553098187325	-0.013511956902	-0.0130633472444	1.0	-0.0411846979296	-0.0278955097384
denovo10202	-0.0253143070713	0.0250005940278	0.00656451670347	-0.000797070007476	-0.0167998744047	0.0197299774886	0.0308374524057	0.0111907675694	-0.0411846979296	1.0	0.00378153391498
denovo10325	0.0300191133648	0.00192142764018	-0.0241066752042	0.00488845319794	-0.0164562751364	0.00384295980591	0.0459026931941	-0.0224539180144	-0.0278955097384	0.00378153391498	1.0
